Kontonummer,Kontobezeichnung,Volle Kontobezeichnung
,B. Umlaufvermögen,Aktiva:B. Umlaufvermögen
,II. Forderungen und sonstige Vermögensgegenstände,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände
1200,01. Forderungen aus Lieferungen und Leistungen,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen
1201,Forderungen aus Lieferungen und Leistungen,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Forderungen aus Lieferungen und Leistungen
1210,Forderungen aus Lieferungen und Leistungen ohne Kontokorrent,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Forderungen aus Lieferungen und Leistungen ohne Kontokorrent
1215,Forderungen aus L+L allgem. Steuersatz oder eines Kleinunternehmers,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Forderungen aus Lieferungen und Leistungen ohne Kontokorrent:Forderungen aus L+L allgem. Steuersatz oder eines Kleinunternehmers
1216,Forderungen aus L+L ermäßigt. Steuersatz,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Forderungen aus Lieferungen und Leistungen ohne Kontokorrent:Forderungen aus L+L ermäßigt. Steuersatz
1217,Forderg. aus steuerfreien oder nicht steuerbaren steuerbaren L+L,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Forderungen aus Lieferungen und Leistungen ohne Kontokorrent:Forderg. aus steuerfreien oder nicht steuerbaren steuerbaren L+L
1218,Forderungen aus L+L gemäß §24 UStG,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Forderungen aus Lieferungen und Leistungen ohne Kontokorrent:Forderungen aus L+L gemäß §24 UStG
1219,Gegenkonto 1215 - 1218 bei Aufteilung der Forderungen nach Steuersätzen (EÜR),Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Forderungen aus Lieferungen und Leistungen ohne Kontokorrent:Gegenkonto 1215 - 1218 bei Aufteilung der Forderungen nach Steuersätzen (EÜR)
1220,Forderungen nach §11 Abs. 1 Satz 2 EStG für §4/3,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Forderungen nach §11 Abs. 1 Satz 2 EStG für §4/3
1221,Forderg.a. Lieferungen/Leistungen <= 1 J,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Forderungen nach §11 Abs. 1 Satz 2 EStG für §4/3:Forderg.a. Lieferungen/Leistungen <= 1 J
1225,Forderg.a. Lieferungen/Leistungen > 1 J,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Forderungen nach §11 Abs. 1 Satz 2 EStG für §4/3:Forderg.a. Lieferungen/Leistungen > 1 J
1230,Wechsel aus Lieferung und Leistung,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Wechsel aus Lieferung und Leistung
1231,Wechsel a. Lieferungen/Leistungen <= 1 J,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Wechsel aus Lieferung und Leistung:Wechsel a. Lieferungen/Leistungen <= 1 J
1232,Wechsel a. Lieferungen/Leistungen > 1 J,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Wechsel aus Lieferung und Leistung:Wechsel a. Lieferungen/Leistungen > 1 J
1235,"Wechsel a. Lieferungen/Leistungen, bundesbankfähig","Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Wechsel aus Lieferung und Leistung:Wechsel a. Lieferungen/Leistungen, bundesbankfähig"
1240,Zweifelhafte Forderungen,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Zweifelhafte Forderungen
1241,Zweifelhafte Forderungen (<= 1 Jahr),Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Zweifelhafte Forderungen:Zweifelhafte Forderungen (<= 1 Jahr)
1245,Zweifelhafte Forderungen (> 1 Jahr),Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Zweifelhafte Forderungen:Zweifelhafte Forderungen (> 1 Jahr)
1246,Einzelwertberichtigung Forderung (<= 1J),Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Zweifelhafte Forderungen:Einzelwertberichtigung Forderung (<= 1J)
1247,Einzelwertberichtigung Forderung (> 1J),Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Zweifelhafte Forderungen:Einzelwertberichtigung Forderung (> 1J)
1248,Pauschalwertberichtigung Forderg. < 1J,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Zweifelhafte Forderungen:Pauschalwertberichtigung Forderg. < 1J
1249,Pauschalwertberichtigung Forderg. > 1J,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Zweifelhafte Forderungen:Pauschalwertberichtigung Forderg. > 1J
1250,Forderungen aus L+L gg. Gesellschafter,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Forderungen aus L+L gg. Gesellschafter
1251,Forderg. aus L+L gg.Gesellschafter <= 1 J,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Forderungen aus L+L gg. Gesellschafter:Forderg. aus L+L gg.Gesellschafter <= 1 J
1255,Forderg. aus L+L gg.Gesellschafter > 1 J,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Forderungen aus L+L gg. Gesellschafter:Forderg. aus L+L gg.Gesellschafter > 1 J
1258,Gegenkonto zu sonstigen Vermögensgegenständen bei Buchungen über Debitorenkonto,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Gegenkonto zu sonstigen Vermögensgegenständen bei Buchungen über Debitorenkonto
1259,"Gegenkonto 1221-1229, 1250-1257, 1270-1279, 1290-1297 bei Aufteilung Debitorenkonto","Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:01. Forderungen aus Lieferungen und Leistungen:Gegenkonto 1221-1229, 1250-1257, 1270-1279, 1290-1297 bei Aufteilung Debitorenkonto"
1260,02. Forderungen gegen verbundene Unternehmen,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:02. Forderungen gegen verbundene Unternehmen
1261,Forderungen gg. verbundene UN <= 1 J,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:02. Forderungen gegen verbundene Unternehmen:Forderungen gg. verbundene UN <= 1 J
1265,Forderungen gg. verbundene UN > 1 J,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:02. Forderungen gegen verbundene Unternehmen:Forderungen gg. verbundene UN > 1 J
1266,Besitzwechsel gegen verbund. Unternehmen,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:02. Forderungen gegen verbundene Unternehmen:Besitzwechsel gegen verbund. Unternehmen
1267,Besitzwechsel gegen verbundene UN <= 1J,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:02. Forderungen gegen verbundene Unternehmen:Besitzwechsel gegen verbund. Unternehmen:Besitzwechsel gegen verbundene UN <= 1J
1268,Besitzwechsel gegen verbundene UN > 1J,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:02. Forderungen gegen verbundene Unternehmen:Besitzwechsel gegen verbund. Unternehmen:Besitzwechsel gegen verbundene UN > 1J
1269,"Besitzwechs.gg.verb.UN, bundesbankfähig","Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:02. Forderungen gegen verbundene Unternehmen:Besitzwechsel gegen verbund. Unternehmen:Besitzwechs.gg.verb.UN, bundesbankfähig"
1270,Forderungen aus L+L gg. verbundene UN,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:02. Forderungen gegen verbundene Unternehmen:Forderungen aus L+L gg. verbundene UN
1271,Forderungen aus L+L gg. verbund. UN <= 1J,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:02. Forderungen gegen verbundene Unternehmen:Forderungen aus L+L gg. verbundene UN:Forderungen aus L+L gg. verbund. UN <= 1J
1275,Forderungen aus L+L gg. verbund. UN > 1J,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:02. Forderungen gegen verbundene Unternehmen:Forderungen aus L+L gg. verbundene UN:Forderungen aus L+L gg. verbund. UN > 1J
1276,WB Forderungen gg. verbundene UN <= 1 J,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:02. Forderungen gegen verbundene Unternehmen:WB Forderungen gg. verbundene UN <= 1 J
1277,WB Forderungen gg. verbundene UN > 1J,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:02. Forderungen gegen verbundene Unternehmen:WB Forderungen gg. verbundene UN > 1J
1280,"03. Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht","Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:03. Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht"
1281,Forderg. gg. UN mit Beteiligg.verh. <= 1 J.,"Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:03. Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht:Forderg. gg. UN mit Beteiligg.verh. <= 1 J."
1285,Forderg. gg. UN mit Beteiligg.verh. > 1 J,"Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:03. Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht:Forderg. gg. UN mit Beteiligg.verh. > 1 J"
1286,Besitzwechsel gg.UN m. Beteiligungsverh.,"Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:03. Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht:Besitzwechsel gg.UN m. Beteiligungsverh."
1287,Besitzwechsel gg.UN m.Beteiligg.verh. <= 1 J,"Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:03. Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht:Besitzwechsel gg.UN m. Beteiligungsverh.:Besitzwechsel gg.UN m.Beteiligg.verh. <= 1 J"
1288,Besitzwechsel gg.UN m.Beteiligg.verh. > 1 J,"Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:03. Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht:Besitzwechsel gg.UN m. Beteiligungsverh.:Besitzwechsel gg.UN m.Beteiligg.verh. > 1 J"
1289,Besitzwechsel gg.UN m.Beteiligg.verh.bbf,"Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:03. Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht:Besitzwechsel gg.UN m. Beteiligungsverh.:Besitzwechsel gg.UN m.Beteiligg.verh.bbf"
1290,Forderg. L+L gg.UN m. Beteiligungsverh.,"Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:03. Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht:Forderg. L+L gg.UN m. Beteiligungsverh."
1291,Forderg. L+L gg.UN m.Beteiligg.verh. <= 1 J,"Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:03. Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht:Forderg. L+L gg.UN m. Beteiligungsverh.:Forderg. L+L gg.UN m.Beteiligg.verh. <= 1 J"
1295,Forderg. L+L gg.UN m.Beteiligg.verh. > 1 J,"Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:03. Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht:Forderg. L+L gg.UN m. Beteiligungsverh.:Forderg. L+L gg.UN m.Beteiligg.verh. > 1 J"
1296,WB Forderg.gg.UN m.Beteiligg.verh. b.1J,"Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:03. Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht:WB Forderg.gg.UN m.Beteiligg.verh. b.1J"
1297,WB Forderg.gg.UN m.Beteiligg.verh. g.1J,"Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:03. Forderungen gegen Unternehmen, mit denen ein Beteiligungsverhältnis besteht:WB Forderg.gg.UN m.Beteiligg.verh. g.1J"
1298,"Ausstehende Einlagen auf das gezeichnete Kapital, eingefordert","Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:Ausstehende Einlagen auf das gezeichnete Kapital, eingefordert"
1299,Eingeforderte Nachschüsse,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:Eingeforderte Nachschüsse
1300,04. Sonstige Vermögensgegenstände,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände
1300,Sonstige Vermögensgegenstände,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Sonstige Vermögensgegenstände
1301,Sonstige Vermögensgegenstände (b.1 J),Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Sonstige Vermögensgegenstände:Sonstige Vermögensgegenstände (b.1 J)
1305,Sonstige Vermögensgegenstände (g.1 J),Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Sonstige Vermögensgegenstände:Sonstige Vermögensgegenstände (g.1 J)
1307,Forderungen gegen GmbH-Gesellschafter,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Forderungen gegen GmbH-Gesellschafter
1308,Restlaufzeit bis 1 Jahr,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Forderungen gegen GmbH-Gesellschafter:Restlaufzeit bis 1 Jahr
1309,Restlaufzeit größer 1 Jahr,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Forderungen gegen GmbH-Gesellschafter:Restlaufzeit größer 1 Jahr
1310,Forderungen gegen Vorstandsmitglieder und Geschäftsführer,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Forderungen gegen Vorstandsmitglieder und Geschäftsführer
1311,Forderungen gg. Geschäftsf.(b.1J),Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Forderungen gegen Vorstandsmitglieder und Geschäftsführer:Forderungen gg. Geschäftsf.(b.1J)
1315,Forderungen gg. Geschäftsf.(g.1J),Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Forderungen gegen Vorstandsmitglieder und Geschäftsführer:Forderungen gg. Geschäftsf.(g.1J)
1317,Forderungen gegen persönlich haftende Gesellschafter,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Forderungen gegen persönlich haftende Gesellschafter
1318,Restlaufzeit bis 1 Jahr,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Forderungen gegen persönlich haftende Gesellschafter:Restlaufzeit bis 1 Jahr
1319,Restlaufzeit größer 1 Jahr,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Forderungen gegen persönlich haftende Gesellschafter:Restlaufzeit größer 1 Jahr
1320,Forderungen gegen Aufsichtsrats- und Beirats-Mitglieder,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Forderungen gegen Aufsichtsrats- und Beirats-Mitglieder
1321,Forderungen gg. Aufsichtsratsm. (b.1 J),Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Forderungen gegen Aufsichtsrats- und Beirats-Mitglieder:Forderungen gg. Aufsichtsratsm. (b.1 J)
1325,Forderungen gg. Aufsichtsratsm. (g.1 J),Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Forderungen gegen Aufsichtsrats- und Beirats-Mitglieder:Forderungen gg. Aufsichtsratsm. (g.1 J)
1327,Forderungen gegen Kommanditisten und atypisch stille Gesellschafter,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Forderungen gegen Kommanditisten und atypisch stille Gesellschafter
1328,Restlaufzeit bis 1 Jahr,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Forderungen gegen Kommanditisten und atypisch stille Gesellschafter:Restlaufzeit bis 1 Jahr
1329,Restlaufzeit größer 1 Jahr,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Forderungen gegen Kommanditisten und atypisch stille Gesellschafter:Restlaufzeit größer 1 Jahr
1330,Forderungen gegen Gesellschafter,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Forderungen gegen Gesellschafter
1331,Forderungen gg. Gesellschafter (b.1J),Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Forderungen gegen Gesellschafter:Forderungen gg. Gesellschafter (b.1J)
1335,Forderungen gg. Gesellschafter (g.1J),Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Forderungen gegen Gesellschafter:Forderungen gg. Gesellschafter (g.1J)
1337,Forderungen gegen typisch stille Gesellschafter,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Forderungen gegen typisch stille Gesellschafter
1338,Restlaufzeit bis 1 Jahr,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Forderungen gegen typisch stille Gesellschafter:Restlaufzeit bis 1 Jahr
1339,Restlaufzeit größer 1 Jahr,Aktiva:B. Umlaufvermögen:II. Forderungen und sonstige Vermögensgegenstände:04. Sonstige Vermögensgegenstände:Forderungen gegen typisch stille Gesellschafter:Restlaufzeit größer 1 Jahr
